kanji,readings,meaning
混,こん,Mix
乱,らん,"Riot, Disorder"
徒,と,"Junior, Follower"
得,とく,Acquire
改,かい,Renew
続,ぞく,Continue
連,れん,"Take Along, Connect"
善,ぜん,"Morally Good, Good"
困,こん,"Distressed, Troubled"
絡,らく,"Entangle, Coil Around, Entwine"
比,ひ,Compare
災,さい,Disaster
機,き,Machine
率,りつ,"Percent, Percentage"
飛,ひ,Fly
害,がい,"Damage, Injury, Harm"
余,よ,"Surplus, Excess"
難,なん,Difficult
妨,ぼう,"Obstruct, Impede"
被,ひ,Incur
裕,ゆう,"Abundant, Wealthy"
震,しん,"Earthquake, Quake, Shake"
尻,しり,"Butt, Buttocks"
尾,び,Tail
械,かい,Contraption
確,かく,Certain
嫌,けん,Dislike
個,こ,Individual
圧,あつ,Pressure
在,ざい,Exist
夢,む,Dream
産,さん,"Give Birth, Property"
倒,とう,"Overthrow, Collapse"
臭,くさ,"Stinking, Stinky, Smelly"
厚,あつ,Thick
妻,さい,Wife
議,ぎ,"Deliberation, Discussion"
犯,はん,Crime
罪,ざい,Guilt
防,ぼう,"Prevent, Prevention"
穴,あな,"Hole, Cave"
論,ろん,Theory
経,けい,"Passage of Time, Pass Through, Manage"
笛,てき,Flute
史,し,History
敵,てき,Enemy
済,さい,Come To An End
委,い,Committee
挙,きょ,Raise
判,はん,Judge
制,せい,"Control, System"
務,む,Task
査,さ,"Inspect, Investigate"
総,そう,Whole
設,せつ,Establish
資,し,Resources
権,けん,Rights
件,けん,"Matter, Affair"
派,は,"Sect, Faction"
岡,おか,Hill
素,そ,Element
断,だん,Cut Off
評,ひょう,Evaluate
批,ひ,Criticism
任,にん,Duty
検,けん,Examine
審,しん,Judge
条,じょう,Clause
責,せき,Blame
省,しょう,Conserve
増,ぞう,Increase
税,ぜい,Tax
解,かい,"Untie, Solve"
際,さい,Occasion
認,にん,"Recognize, Acknowledge"
企,き,Plan
義,ぎ,Righteousness
罰,ばつ,"Penalty, Punishment"
誕,たん,Birth
脱,だつ,"Undress, Escape"
過,か,Surpass
坊,ぼう,Monk
寝,ね,"Lie Down, Sleep"
宮,みや,"Shinto Shrine, Shrine, Palace"
各,かく,Each
案,あん,Plan
置,ち,Put
費,ひ,"Expense, Cost"
価,か,Value
勢,せい,Force
営,えい,Manage
示,じ,"Indicate, Show"
統,とう,"Unite, Rule, Govern"
領,りょう,Territory
策,さく,Plan
藤,ふじ,Wisteria
副,ふく,"Vice, Side"
観,かん,View
値,ち,"Value, Price"
吸,きゅう,"Suck, Inhale"
域,いき,"Region, Boundary"
姿,し,"Figure, Shape, Form"
応,おう,Respond
提,てい,"Present, Submit"
援,えん,"Aid, Assist"
状,じょう,Condition
態,たい,"Appearance, State, Shape"
賀,が,Congratulations
収,しゅう,Obtain
停,てい,Halt
革,かく,Leather
職,しょく,Employment
鬼,き,Demon
規,き,Standard
護,ご,Defend
割,わり,Divide
裁,さい,Judge
崎,さき,Cape
演,えん,"Acting, Perform"
律,りつ,Law
師,し,"Teacher, Expert, Master"
看,かん,Watch Over
準,じゅん,Standard
則,そく,Rule
備,び,"Provide, Equip"
導,どう,Lead
幹,かん,"Tree Trunk, Ability"
張,ちょう,Stretch
優,ゆう,"Superior, Gentle"
宅,たく,"House, Home"
沢,たく,Swamp
贅,ぜい,Extravagant
施,し,Carry Out
現,げん,"Present Time, Appear"
乳,にゅう,Milk
呼,よ,Call
城,しろ,Castle
俳,はい,Haiku
秀,しゅう,Excel
担,たん,"Carry, Bear"
額,がく,"Amount, Framed Picture"
製,せい,Manufacture
違,ちが,Different
輸,ゆ,Transport
燃,ねん,Burn
祝,しゅく,Celebrate
届,とど,Deliver
狭,せま,Narrow
肩,かた,Shoulder
腕,うで,Arm
腰,こし,Waist
触,しょく,Touch
載,さい,"Place On, Put On"
層,そう,Layer
型,けい,"Model, Type"
庁,ちょう,"Agency, Government Office"
視,し,Look At
差,さ,Distinction
管,かん,Pipe
象,ぞう,"Elephant, Phenomenon"
量,りょう,"Quantity, Amount"
境,きょう,Boundary
環,かん,Loop
武,ぶ,Military
質,しつ,Quality
述,じゅつ,Mention
供,きょう,"Servant, Companion"
展,てん,Expand
販,はん,Sell
株,かぶ,"Stock, Share"
限,げん,Limit
与,よ,Give
含,がん,Include
影,えい,Shadow
況,きょう,Condition
渡,わた,Transit
響,きょう,"Echo, Reverberation, Resound"
票,ひょう,Ballot
景,けい,Scene
抜,ぬ,Extract
訴,そ,Sue
訟,しょう,Lawsuit
逮,たい,Apprehend
補,ほ,Supplement
候,こう,"Climate, Weather, Candidate"
構,こう,"Set Up, Care"
模,も,Imitation
捕,ほ,Catch
鮮,せん,Fresh
効,こう,Effective
属,ぞく,Belong
慣,かん,Accustomed
豊,ほう,"Plentiful, Abundant"
満,まん,Full
肥,ひ,Obese
巻,かん,Scroll
捜,そう,Search
絞,こう,Strangle
輩,はい,Comrade
隠,いん,Hide
掛,か,Hang
替,か,"Replace, Exchange"
居,きょ,Alive
造,ぞう,Create
授,じゅ,Instruct
印,いん,"Seal, Mark"
創,そう,Create
復,ふく,Restore
往,おう,"Journey, Depart"
較,かく,"Contrast, Compare"
筆,ひつ,Writing Brush
鉛,えん,Lead
貯,ちょ,Savings
故,こ,"Circumstance, Reason"
障,しょう,Hinder
従,じゅう,"Obey, Accompany, Follow"
我,が,"I, Me"
激,げき,"Fierce, Violent"
刺,し,Stab
励,れい,Encourage
討,とう,Chastise
郵,ゆう,"Mail, Post"
針,しん,Needle
徴,ちょう,"Indication, Sign"
怪,かい,Suspicious
獣,じゅう,"Beast, Animal"
突,とつ,"Stab, Thrust, Sudden"
菓,か,Cake
河,か,River
振,しん,"Shake, Wave"
汗,あせ,Sweat
豚,ぶた,"Pork, Pig"
再,さ,Again
接,せつ,Adjoin
独,どく,Alone
占,せん,"Fortune, Occupy"
招,しょう,Beckon
段,だん,"Steps, Stairs"
胃,い,Stomach
腹,ふく,"Belly, Abdomen, Stomach"
痛,つう,Pain
退,たい,"Retreat, Reject"
屈,くつ,Yield
悩,なや,Worry
暇,か,"Spare Time, Free Time"
織,しき,Weave
貸,か,Lend
迷,めい,"Astray, Lost"
惑,わく,Misguided
誘,ゆう,Invite
就,しゅう,Get A Position
訪,ほう,Visit
怒,ど,"Angry, Anger"
昇,しょう,Ascend
眠,みん,Sleep
睡,すい,Drowsy
症,しょう,Symptom
締,てい,Tighten
迫,はく,"Urge, Compel, Coerce"
靴,くつ,Shoes
濃,のう,"Dense, Thick"
端,たん,Edge
極,きょく,Extreme
途,と,Route
健,けん,Healthy
康,こう,"Ease, Peace"
郎,ろう,Guy
給,きゅう,Salary
逆,ぎゃく,"Reverse, Opposite"
巨,きょ,Giant
庫,こ,"Storage, Warehouse"
児,じ,Child
冷,れい,"Cool, Cold"
凍,とう,"Frozen, Freeze"
幼,よう,"Infancy, Childhood"
稚,ち,Immature
処,しょ,Deal With
博,はく,"Exhibition, Gambling"
清,せい,Pure
潔,けつ,"Pure, Clean"
録,ろく,Record
隊,たい,Squad
修,しゅう,Discipline
券,けん,Ticket
婦,ふ,Wife
奇,き,"Odd, Strange"
妙,みょう,Strange
麗,れい,Lovely
微,び,Delicate
益,えき,Benefit
移,い,Shift
程,てい,Extent
精,せい,"Spirit, Pure"
絶,ぜつ,"Extinction, Die Out"
並,へい,Line Up
憲,けん,Constitution
衆,しゅう,Populace
傘,かさ,Umbrella
浜,はま,Beach
撃,げき,Attack
攻,こう,Aggression
監,かん,"Oversee, Surveillance"
杯,はい,"Cup Of Liquid, Counter For Cups"
乾,かん,Dry
催,さい,Sponsor
促,そく,Urge
欧,おう,Europe
江,え,"Inlet, Bay"
請,せい,Request
雄,ゆう,"Male, Brave"
韓,かん,Korea
壊,かい,Break
診,しん,Diagnose
閣,かく,"The Cabinet, Cabinet"
僚,りょう,Colleague
積,せき,Accumulate
督,とく,"Director, Supervise"
臣,しん,"Servant, Retainer"
略,りゃく,"Abbreviation, Abbreviate"
航,こう,Navigation
寄,き,Approach
板,ばん,Board
街,がい,Street
宗,しゅう,Religion
緊,きん,Tense
娘,むすめ,Daughter
宴,えん,Banquet
怖,ふ,Scary
恐,きょう,Fear
添,てん,Append
猛,もう,Fierce
烈,れつ,"Violent, Intense"
索,さく,Search
詰,つ,Stuffed
詳,しょう,Detailed
魅,み,Alluring
渇,かわ,"Dry Up, Thirst"
系,けい,Lineage
婚,こん,Marriage
遊,ゆう,Play
旗,き,Flag
照,しょう,Illuminate
快,かい,Pleasant
版,はん,Edition
貧,びん,Poor
乏,ぼう,Scarce
適,てき,Suitable
預,よ,Deposit
延,えん,Prolong
翌,よく,"The Next, The Following"
覧,らん,Look At
懐,なつ,Nostalgia
押,お,Push
更,こう,Renew
枕,まくら,Pillow
浮,う,Float
漏,ろう,Leak
符,ふ,Token
購,こう,Subscription
越,えつ,Go Beyond
飾,しょく,Decorate
騒,そう,Boisterous
背,はい,"Back, Height"
撮,さつ,"Photograph, Photo"
盗,とう,Steal
離,り,Detach
融,ゆう,Dissolve
編,へん,Knit
華,か,"Showy, Flower, Gorgeous"
既,き,Previously
普,ふ,Normal
豪,ごう,"Exceptional, Luxurious"
鑑,かん,Model
除,じょ,"Exclude, Remove"
尋,じん,Inquire
幾,いく,"How Many, How Much"
廊,ろう,Corridor
掃,そう,Sweep
泥,でい,Mud
棒,ぼう,"Pole, Rod, Wooden Pole"
驚,きょう,Surprised
嘆,たん,Sigh
倉,そう,Warehouse
孫,そん,Grandchild
巣,す,Nest
帯,たい,Belt
径,けい,Diameter
救,きゅう,Rescue
散,さん,Scatter
粉,ふん,Powder
脈,みゃく,Vein
菜,さい,Vegetable
貨,か,Freight
陸,りく,Land
似,に,Resemble
均,きん,Equal
墓,ぼ,Grave
富,ふ,Rich
徳,とく,Virtue
探,たん,"Look For, Search For"
偵,てい,Spy
綺,き,Beautiful
序,じょ,Preface
迎,げい,Welcome
志,し,"Intention, Ambition"
恩,おん,Kindness
採,さい,Gather
